Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:10,255",GET,/api/v1/adminorderservice/adminorder,277.7079170336947,1871
"2024-06-25 20:34:10,255",GET,/api/v1/waitorderservice/orders,263.9099160442129,44
"2024-06-25 20:34:10,273",GET,/api/v1/travelservice/train_types/%7BtripId%7D,282.557874917984,43
"2024-06-25 20:34:10,274",GET,/api/v1/adminuserservice/users,295.2586250612512,235
"2024-06-25 20:34:10,274",GET,/api/v1/basicservice/basic/shanghai,294.2731250077486,74
"2024-06-25 20:34:10,274",GET,/api/v1/basicservice/basic/shanghai,294.19233300723135,74
"2024-06-25 20:34:10,274",GET,/api/v1/travelservice/train_types/%7BtripId%7D,283.5342090111226,43
"2024-06-25 20:34:10,274",GET,/api/v1/basicservice/basic/xuzhou,295.15933408401906,74
"2024-06-25 20:34:10,279",GET,/api/v1/adminuserservice/users,300.80095899757,235
"2024-06-25 20:34:10,287",GET,/api/v1/routeservice/routes,299.0023330785334,1703
"2024-06-25 20:34:10,289",GET,/api/v1/routeservice/routes,301.05745792388916,1703
"2024-06-25 20:34:10,290",GET,/api/v1/adminrouteservice/adminroute,312.61129095219076,1703
"2024-06-25 20:34:10,291",GET,/api/v1/adminuserservice/users,312.1036250377074,235
"2024-06-25 20:34:10,292",GET,/api/v1/adminrouteservice/adminroute,314.408874954097,1703
"2024-06-25 20:34:10,306",GET,/api/v1/travel2service/trips,315.47045905608684,1588
"2024-06-25 20:34:10,312",POST,/api/v1/stationfoodservice/stationfoodstores,323.53666704148054,1858
"2024-06-25 20:34:10,313",GET,/api/v1/travel2service/trips,323.5238330671564,1588
"2024-06-25 20:34:10,320",POST,/api/v1/stationfoodservice/stationfoodstores,331.076042028144,1858
"2024-06-25 20:34:10,320",GET,/api/v1/adminbasicservice/adminbasic/stations,343.7687500845641,120901
"2024-06-25 20:34:10,321",GET,/api/v1/adminbasicservice/adminbasic/stations,344.3088330095634,120901
"2024-06-25 20:34:10,325",GET,/api/v1/adminbasicservice/adminbasic/stations,348.63966703414917,120901
"2024-06-25 20:34:10,327",PUT,/api/v1/userservice/users,335.9702500747517,243
"2024-06-25 20:34:10,328",GET,/api/v1/adminrouteservice/adminroute,350.07954202592373,1703
"2024-06-25 20:34:10,330",POST,/api/v1/travelplanservice/travelPlan/cheapest,340.0095420656726,44
"2024-06-25 20:34:10,331",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,343.2932080468163,38
"2024-06-25 20:34:10,331",POST,/api/v1/travelplanservice/travelPlan/cheapest,340.468458016403,44
"2024-06-25 20:34:10,331",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,343.57475000433624,38
"2024-06-25 20:34:10,331",PUT,/api/v1/userservice/users,340.22762498352677,243
"2024-06-25 20:34:10,370",GET,/api/v1/admintravelservice/admintravel,391.4014579495415,6490
"2024-06-25 20:34:10,370",GET,/api/v1/admintravelservice/admintravel,391.71999995596707,6490
"2024-06-25 20:34:10,370",GET,/api/v1/admintravelservice/admintravel,392.10787508636713,6490
"2024-06-25 20:34:11,020",GET,/api/v1/rebookservice/welcome,21.767291938886046,31
"2024-06-25 20:34:11,022",GET,/api/v1/rebookservice/welcome,23.611499927937984,31
"2024-06-25 20:34:11,030",GET,/api/v1/executeservice/welcome,39.04800000600517,32
"2024-06-25 20:34:11,030",GET,/api/v1/cancelservice/welcome,46.79291706997901,31
"2024-06-25 20:34:11,031",GET,/api/v1/orderOtherService/orderOther/2013-08-09/1,36.34329210035503,233
"2024-06-25 20:34:11,031",GET,/api/v1/orderOtherService/orderOther/2013-08-09/1,36.80945897940546,233
"2024-06-25 20:34:11,031",GET,/api/v1/securityservice/securityConfigs,31.24779206700623,283
"2024-06-25 20:34:11,031",GET,/api/v1/preserveotherservice/welcome,34.82099995017052,38
"2024-06-25 20:34:11,031",GET,/api/v1/seatservice/welcome,32.144624972715974,29
"2024-06-25 20:34:11,031",GET,/api/v1/preserveotherservice/welcome,34.80516700074077,38
"2024-06-25 20:34:11,032",GET,/api/v1/priceservice/prices,34.16583396028727,1685
"2024-06-25 20:34:11,032",GET,/api/v1/seatservice/welcome,32.18670899514109,29
